alpha_deg,de_trim_deg,CL_trim,CD_trim,V_m_s,Tr_N,Pr_W,CL_over_CD,CL32_over_CD
0,1.43239448782706,0.006625,0.030005494142637,104.65566777043,158.51959169695,16589.9737237402,0.220792897744219,0.0179712398563556
0.5,1.06739448782706,0.0304186373601257,0.0301158264313557,48.8411427525067,34.6515826011049,1692.42289242084,1.01005487694187,0.176163060860935
1,0.702394487827058,0.0542122747202514,0.0303678946107142,36.5853217845425,19.60582389984,717.285376226721,1.78518384021013,0.415653806534227
1.5,0.337394487827058,0.0780059120803771,0.0307616986807125,30.4994448802084,13.8022801748097,420.961883412802,2.53581289154512,0.708240837823335
2,-0.0276055121729419,0.101799549440503,0.0312972386413505,26.6982482214265,10.7603948982847,287.283693954977,3.25266872924704,1.03779783981299
2.5,-0.392605512172942,0.125593186800628,0.0319745144926282,24.036578854288,8.91057895535769,214.179833697814,3.92791536614526,1.39201899568482
3,-0.757605512172942,0.149386824160754,0.0327935262345457,22.0393888352319,7.68323059719101,169.333706642244,4.55537544490673,1.76067956529096
3.5,-1.12260551217294,0.17318046152088,0.0337542738671029,20.4694535092317,6.8217833292133,139.638176707383,5.13062322723115,2.13510663079439
4,-1.48760551217294,0.196974098881006,0.0348567573902999,19.1933654817395,6.19363924288089,118.876781650657,5.65095877035941,2.50799519351157
4.5,-1.85260551217294,0.220767736241131,0.0361009768041367,18.1295862251268,5.72336433601286,103.762227227561,6.11528428825877,2.87332302867898
5,-2.21760551217294,0.244561373601257,0.0374869321086132,17.2251003990314,5.36488082513255,92.4106108417467,6.52391006264995,3.2262788253888
5.5,-2.58260551217294,0.268355010961383,0.0390146233037294,16.4437490300269,5.08845283245719,83.6732413280555,6.87831864663244,3.56317494419814
6,-2.94760551217294,0.292148648321508,0.0406840503894854,15.7599107523748,4.87403166782736,76.8143040892075,7.18091354043286,3.88133955693626
6.5,-3.31260551217294,0.315942285681634,0.0424952133658811,15.1548560860714,4.70760811455476,71.3431234856992,7.43477348757825,4.17899276669229
7,-3.67760551217294,0.33973592304176,0.0444481122329166,14.6145335646167,4.57909753617918,66.9213746381441,7.64342749274657,4.45511465674579
7.5,-4.04260551217294,0.363529560401885,0.0465427469905918,14.1281672929414,4.48105552370994,63.3091020879331,7.81065974630525,4.70931330831177
8,-4.40760551217294,0.387323197762011,0.0487791176389068,13.6873363623324,4.40786693703475,60.3319574075986,7.94034858582758,4.94169938803315
8.5,-4.77260551217294,0.411116835122137,0.0511572241778616,13.2853519404155,4.35521655466438,57.8605847054401,8.03633976880334,5.15277193477687
9,-5.13760551217294,0.434910472482263,0.053677066607456,12.9168245837855,4.31973348569476,55.7972396834235,8.10235171125859,5.34331803314179
9.5,-5.50260551217294,0.458704109842388,0.0563386449276903,12.5773567256489,4.29874625092566,54.066865070938,8.14190881642836,5.51432742787652
10,-5.86760551217294,0.482497747202514,0.0591419591385642,12.263319676048,4.2901103307762,52.6109944318246,8.15829834233366,5.66692190899978
10.5,-6.23260551217294,0.50629138456264,0.062087009240078,11.9716889892726,4.29208434048293,51.3834988399889,8.15454618863848,5.80229847578897
11,-6.59760551217294,0.530085021922765,0.0651737952322314,11.6999209627133,4.30323955363609,50.3475626611642,8.13340730018764,5.92168480938096
11.5,-6.96260551217294,0.553878659282891,0.0684023171150247,11.4458586493603,4.322392745959,49.4734963972668,8.09736691158421,6.02630536976648
12,-7.32760551217294,0.577672296643017,0.0717725748884576,11.2076593950847,4.34855563559833,48.7371304243622,8.04864946730394,6.11735640576286
